name,ra,dec,objid,cModelAbsMag_r,logMass,age,metallicity,petroR50_r,petroR90_r
1237648704061636915,232.3031,-0.2521994,1237648704061636915,-21.34001,11.8199,6.734734,0.0077,5.967573,18.60889
1237648704057573499,223.0669,-0.2936265,1237648704057573499,-20.0656,10.93435,2.242026,0.0077,4.141253,13.13381
1237648702978785290,211.4731,-1.204457,1237648702978785290,-19.30655,10.77926,2.906923,0.0077,1.76781,5.712846
1237648720170975251,211.912,-0.9553203,1237648720170975251,-21.08331,11.50555,3.029366,0.0077,8.34525,27.48471
1237648722314264707,202.3379,0.7496893,1237648722314264707,-19.90792,10.86248,2.242026,0.03,3.33123,10.60661
1237648705657307283,198.2131,1.001799,1237648705657307283,-20.93134,11.31211,2.307769,0.0077,5.35399,17.17128
1237671763712934141,191.7134,0.2970411,1237671763712934141,-21.62877,11.69898,3.496192,0.03,6.340022,20.4924
1237657590322364533,180.8602,54.86864,1237657590322364533,-20.56466,11.22119,2.746209,0.0077,4.606409,14.53889
1237658800963256431,181.2206,54.23176,1237658800963256431,-20.31171,11.18309,2.085784,0.019,6.903354,23.69812
1237658802034638985,171.7548,54.37736,1237658802034638985,-20.25821,11.12155,3.410037,0.03,3.49425,11.90221
1237658803107659875,168.6519,54.7599,1237658803107659875,-20.09178,11.03112,2.746209,0.0077,3.356648,9.414403
1237657590319480836,169.6346,53.81453,1237657590319480836,-19.29152,10.54999,2.085784,0.0096,3.899977,10.98974
1237658802569740408,164.9417,53.8036,1237658802569740408,-21.47303,11.69695,3.410037,0.0077,7.533491,25.73906
1237657591389487338,155.737,52.11074,1237657591389487338,-19.86505,11.20816,6.653529,0.0077,1.831709,5.731374
1237655501887766575,255.6381,33.51664,1237655501887766575,-21.66733,11.79974,4.16118,0.03,6.405006,20.59699
1237658312945172640,203.61,59.37373,1237658312945172640,-21.24778,11.62256,3.496192,0.0077,6.421426,22.17792
1237658303279464460,162.3004,57.83727,1237658303279464460,-21.38753,11.60518,3.496192,0.03,9.101938,27.92725
1237658302739578948,151.216,54.56786,1237658302739578948,-20.85362,11.67878,8.464718,0.0077,12.28675,36.22748
1237653440302547064,355.2371,-10.74148,1237653440302547064,-20.85743,11.24397,3.029366,0.03,5.080618,16.52764
1237652629631467615,350.7348,-10.04562,1237652629631467615,-20.72015,11.3112,2.36435,0.03,4.691085,15.20198
1237651754563010954,216.1975,2.664442,1237651754563010954,-20.83907,11.62081,8.064765,0.0077,8.64249,27.6216
1237651735756931096,179.896,1.867059,1237651735756931096,-19.45797,11.41251,9.481301,0.0077,2.969329,8.222547
1237651735211540630,160.445,1.386926,1237651735211540630,-21.0393,11.4674,3.496192,0.03,4.472126,15.08292
1237653664180601091,139.7408,1.148929,1237653664180601091,-20.41502,11.19238,2.307769,0.03,4.496701,15.66642
1237651496831615078,119.1845,45.87693,1237651496831615078,-20.64392,11.55132,7.399749,0.0077,7.242256,22.6532
1237651496831483940,118.7147,45.70508,1237651496831483940,-20.1388,11.27165,4.302813,0.0077,5.228228,17.72825
1237666090588635306,17.56004,15.06973,1237666090588635306,-19.69423,10.76721,2.242026,0.0096,3.312762,10.04792
1237650762396205240,192.9365,-1.858759,1237650762396205240,-20.4908,11.22585,2.167394,0.03,4.414246,14.14137
1237648704059342955,227.1073,-0.2662612,1237648704059342955,-21.27345,11.69698,8.292908,0.0077,5.303739,16.69542
1237648702985404509,226.688,-1.231715,1237648702985404509,-21.2862,11.68188,2.167394,0.03,5.79073,17.68027
1237648721784012864,217.4193,0.3663997,1237648721784012864,-20.55173,11.28559,3.571928,0.03,3.875811,13.39355
1237648705658945659,201.9423,0.9678351,1237648705658945659,-19.85841,11.17514,7.627892,0.0077,3.215957,11.26688
1237648705657700502,199.1357,0.8702586,1237648705657700502,-20.55166,11.4146,9.724273,0.012,7.23259,26.10009
1237648703503663317,184.2046,-0.7417912,1237648703503663317,-20.60945,11.29264,3.571928,0.03,4.588139,15.03428
1237648721759961111,162.4952,0.3223013,1237648721759961111,-20.66772,11.39025,3.496192,0.0077,6.726262,22.42824
1237651801236701418,155.8837,0.1737238,1237651801236701418,-21.13495,11.46996,2.479575,0.03,4.641798,13.68504
1237651800699830385,155.8981,-0.2215258,1237651800699830385,-21.21111,11.45927,2.242026,0.03,7.708565,24.55092
1237651752386953252,150.8447,0.8404425,1237651752386953252,-20.13011,10.97058,2.906923,0.03,2.654734,9.021616
1237654670809694360,150.7759,0.4541082,1237654670809694360,-20.11735,11.16399,3.496192,0.0077,4.547674,16.10405
1237655499737792597,202.7951,-1.730272,1237655499737792597,-21.28903,11.50329,2.972781,0.03,10.48751,34.43599
1237657772324159724,162.4239,56.64128,1237657772324159724,-20.28191,11.17512,3.809607,0.03,4.560812,14.65682
1237657770713481468,162.9475,55.38567,1237657770713481468,-20.96741,11.46839,3.571928,0.03,5.649038,20.28429
1237678877784146286,323.4706,10.4397,1237678877784146286,-20.31114,11.2183,3.410037,0.0077,2.92651,9.33502
1237666210347679849,329.3726,-7.795692,1237666210347679849,-20.68215,11.35507,2.906923,0.0096,4.314028,14.34311
1237652616742961313,26.65185,-9.695882,1237652616742961313,-20.27389,11.13872,2.831355,0.0077,4.595667,15.10287
1237652901818007769,351.1938,-8.799461,1237652901818007769,-20.54177,11.17523,2.242026,0.03,3.647543,12.13323
1237651539799703721,243.6736,52.56656,1237651539799703721,-20.19401,11.14811,2.906923,0.0077,4.74379,12.33868
1237654879130222725,223.6364,2.966437,1237654879130222725,-20.55284,11.43892,11.84522,0.0077,11.98548,41.87069
1237654879665586207,220.1785,3.465423,1237654879665586207,-20.65825,11.53233,5.860279,0.03,14.31101,41.22347
1237654654171938965,119.6171,37.78662,1237654654171938965,-21.35834,11.66967,3.410037,0.0077,10.26644,32.90302
1237654628399710510,118.8575,36.69145,1237654628399710510,-19.88204,11.18897,8.729781,0.0077,4.806989,16.60017
1237654654171611387,119.1073,37.05825,1237654654171611387,-20.61949,11.50268,6.069718,0.0077,4.014074,13.50625
1237651736314773623,227.8824,1.763885,1237651736314773623,-20.35679,11.43109,13.11983,0.0077,9.453329,26.55551
1237651735771676782,213.636,1.731598,1237651735771676782,-20.04172,11.20089,5.306479,0.0077,3.516356,10.79485
1237671764250460325,191.3036,1.804791,1237671764250460325,-21.05364,11.4238,2.831355,0.0077,11.2645,34.89642
1237651754542366782,168.926,2.892352,1237651754542366782,-19.5124,10.84124,3.626535,0.0077,2.353935,7.334588
1237648722828067058,149.7174,1.059201,1237648722828067058,-20.37615,11.33561,7.190137,0.0077,4.564634,14.37812
1237649962996269081,59.58266,-5.538865,1237649962996269081,-20.78538,11.22273,2.242026,0.0077,6.486806,20.75103
1237651191359013090,134.0214,53.55238,1237651191359013090,-20.32902,11.28105,3.029366,0.012,3.490968,11.36191
1237651190815129779,119.269,40.99515,1237651190815129779,-20.27279,11.16849,2.972781,0.0077,5.219773,18.20149
1237673704505671747,118.9349,41.20393,1237673704505671747,-21.24423,11.81486,6.231991,0.0077,7.01605,21.28861
1237666090051698826,17.8092,14.87818,1237666090051698826,-20.15668,11.12543,2.36435,0.03,2.47711,8.251874
1237666214607323150,18.24825,15.49131,1237666214607323150,-20.50982,11.32221,3.410037,0.0077,9.232984,27.42284
1237666215143473303,17.5132,13.97814,1237666215143473303,-20.73389,11.56538,6.469671,0.0077,9.309598,25.5035
1237671763175211096,192.0112,-1.652814,1237671763175211096,-20.89777,11.64852,10.05981,0.0077,4.804673,16.57202
1237650760785395904,192.428,-3.122673,1237650760785395904,-20.63771,11.26964,2.479575,0.03,2.927612,9.899036
1237648705127579669,214.4577,0.5109354,1237648705127579669,-20.23442,11.43006,12.45481,0.0077,3.11595,10.4478
1237659327092949012,221.6662,55.5304,1237659327092949012,-20.62084,11.3462,9.059268,0.0077,4.799642,16.23144
1237671267107537072,190.6925,0.5398486,1237671267107537072,-20.1798,11.05953,2.906923,0.0077,5.83615,17.99858
1237651801234997481,152.105,0.1759467,1237651801234997481,-20.94485,11.35112,2.167394,0.03,3.504308,11.48933
1237651752923168796,149.3403,1.209453,1237651752923168796,-20.3057,11.17063,3.571928,0.03,3.900736,13.18869
1237651801770295423,148.4084,0.5887542,1237651801770295423,-20.21185,11.17958,2.242026,0.03,2.150481,6.293186
1237654669735231622,149.1609,-0.3580167,1237654669735231622,-21.32837,11.63457,3.410037,0.0077,8.412654,25.41509
1237659119333474687,242.8077,36.97343,1237659119333474687,-21.2376,11.5603,2.906923,0.0077,7.92944,25.60845
1237659154216255686,243.2395,37.39616,1237659154216255686,-19.90647,10.9126,2.242026,0.03,2.28341,7.100142
